,biox001_seq,biox002_seq,biox003_seq,biox004_seq,biox005_seq,biox006_seq,biox007_seq,biox008_seq,biox009_seq,biox010_seq,biox011_seq,biox012_seq,biox013_seq,biox014_seq,biox015_seq,biox016_seq,biox017_seq,biox018_seq,biox031_seq,biox032_seq,biox033_seq,biox034_seq,biox035_seq,biox036_seq,biox050_seq,biox051_seq,biox052_seq,biox053_seq,biox054_seq,biox055_seq,biox056_seq,biox057_seq,biox058_seq,biox059_seq,biox060_seq,biox061_seq,biox062_seq,biox063_seq,biox064_seq,biox065_seq,biox066_seq,biox079_seq,biox080_seq,biox081_seq,biox082_seq,biox083_seq,biox084_seq,biox097_seq,biox098_seq,biox099_seq,biox100_seq,biox101_seq,biox102_seq,biox103_seq,biox104_seq,biox105_seq,biox106_seq,biox107_seq,biox108_seq,biox109_seq,biox110_seq,biox111_seq,biox112_seq,biox113_seq,biox114_seq,biox127_seq,biox128_seq,biox129_seq,biox130_seq,biox131_seq,biox132_seq
Bacteroides_stercoris,0,0,0,0,0,0,21,0,0,19,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1352,746,1028,1302,1117,1038,2459,1356,1135,829,2585,1368,2767,675,911,622,897,644,1828,171,360
Bacteroides_intestinalis,0,0,0,0,0,0,12,0,0,13,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,71,112,133,121,117,274,137,119,60,252,79,193,75,81,20,55,111,258,13,38
Bacteroides_congonensis,0,0,0,0,0,0,11,0,0,18,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,14,0,0,0,19,0,19,10,17,0,0,0,16,0,0
Bacteroides_sp900556215,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,11,12,0,12,26,0,0,0,20,0,21,0,0,0,0,0,11,0,0
Bacteroides_oleiciplenus,0,0,0,0,0,14,10,21,17,14,10,0,12,0,0,0,0,10,14,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phocaeicola_massiliensis,0,0,0,502,407,622,650,307,432,761,454,599,340,438,447,605,1034,1458,732,504,686,2049,184,293,0,0,51,24,32,45,0,35,0,31,18,55,85,22,23,27,34,18,26,15,17,0,0,0,0,0,113,70,74,80,61,84,213,98,77,52,214,156,305,221,302,59,90,141,334,48,97
Phocaeicola_dorei,0,0,0,164,114,189,238,127,145,268,124,190,122,165,191,263,357,438,281,247,175,568,72,117,0,0,533,363,277,713,221,422,18,451,293,584,1014,462,365,271,294,181,310,343,250,40,75,0,0,0,3240,1672,2337,2815,2791,2752,6384,3575,2774,1543,6577,4465,9659,7054,9944,1869,2961,4795,12282,1753,2941
Phocaeicola_sp000436795,0,0,0,17,14,13,16,13,0,23,0,22,0,0,21,16,0,28,23,0,17,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,100,56,61,62,58,67,163,137,68,38,148,86,171,134,187,36,66,109,249,39,60
Phocaeicola_sartorii,0,0,0,0,0,0,16,0,0,11,0,11,0,11,0,0,14,15,14,12,0,19,0,0,0,0,85,59,62,103,34,58,0,65,58,105,168,77,56,47,42,31,44,66,26,0,0,0,0,0,562,238,322,440,366,389,888,526,405,291,958,675,1432,1026,1475,303,493,634,1612,309,481
Phocaeicola_barnesiae,0,0,0,0,0,0,13,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,32,32,34,25,32,64,26,37,33,78,52,95,45,79,23,15,44,61,0,15
Phocaeicola_ilei,0,0,0,0,0,0,10,0,0,13,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,13,11,30,12,22,0,0,0,27,0,0
Paraprevotella_clara,0,0,0,55,59,62,94,37,50,114,59,73,43,65,58,76,110,162,79,60,156,472,43,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,17,0,18,0,13,0,0,0,0,0,0
Paraprevotella_sp003477995,0,0,0,0,0,0,10,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,19,18,20,17,22,63,22,31,15,78,50,70,60,79,23,28,15,48,0,12
Prevotella_stercorea,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGM04593_sp900769465,0,0,0,14,0,11,23,0,10,31,0,13,11,10,0,0,13,11,0,15,0,15,0,0,0,0,0,10,0,13,0,0,0,11,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes_onderdonkii,0,0,0,2640,2861,4340,5001,2067,2780,5891,2508,3357,1898,2380,1862,2338,1737,2375,2416,1781,798,1547,247,324,0,0,12,11,23,28,11,27,0,21,0,15,26,0,0,0,0,0,12,0,0,0,0,0,0,0,99,106,127,178,102,109,235,133,114,143,289,167,225,93,192,106,90,35,82,12,23
Alistipes_communis,0,0,0,92,102,162,228,84,114,238,94,106,79,111,82,124,100,134,153,98,38,67,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,129,130,225,110,136,280,136,134,161,346,246,340,206,332,244,131,108,174,45,58
Alistipes_finegoldii,0,0,0,97,89,133,138,70,82,159,64,101,63,81,65,70,54,74,72,52,23,56,0,21,0,0,45,20,47,53,26,40,0,38,26,31,63,16,26,0,0,0,20,0,0,0,0,0,0,0,383,289,279,516,284,331,744,389,347,395,871,531,677,391,624,440,308,160,352,60,119
Alistipes_timonensis,0,0,0,34,31,71,71,32,39,74,23,33,24,30,18,31,18,28,30,28,0,12,0,0,0,0,20,11,11,21,0,19,0,21,15,0,35,0,11,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,14,0,0,0,0,0,0,0,0,0,0
Alistipes_sp902388705,0,0,0,26,24,33,55,23,33,69,27,48,16,20,28,15,15,27,27,17,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes_senegalensis,0,0,0,24,33,43,49,28,30,45,26,34,19,23,21,31,17,20,21,17,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,16,28,19,15,34,16,14,13,46,20,35,28,47,21,15,0,25,0,0
Alistipes_shahii,0,0,0,14,11,18,24,0,26,29,0,15,18,11,0,13,0,0,0,0,0,0,0,0,0,0,79,91,98,130,37,99,0,79,54,64,141,69,57,31,20,62,119,0,0,0,0,0,0,0,469,394,337,722,380,389,945,550,393,532,1120,847,1162,827,1328,841,454,298,499,91,134
Tidjanibacter_inops_A,0,0,0,184,209,276,346,139,192,404,177,232,171,166,160,161,135,232,216,160,133,269,65,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes_A_ihumii,0,0,0,43,36,91,89,31,40,96,46,60,29,32,23,39,27,35,40,24,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,18,0,29,27,22,45,13,11,14,46,27,35,23,20,32,11,0,10,0,0
Parabacteroides_distasonis,0,0,0,956,750,1200,1560,713,975,1846,935,1253,760,960,715,945,1086,1405,1040,796,288,832,86,148,0,0,549,325,306,723,189,365,0,378,257,492,777,379,274,248,272,216,391,87,52,12,0,0,0,0,3232,1777,2595,2786,2553,2651,6184,3603,2904,1547,5901,3266,7139,3279,5122,1408,2238,1088,1992,301,359
Parabacteroides_merdae,0,0,0,718,565,851,942,477,648,1177,589,860,418,594,441,536,611,912,622,476,153,549,74,95,0,0,229,141,153,298,133,203,0,190,117,157,354,133,107,118,145,68,134,30,23,0,14,0,0,0,2155,1191,1969,2132,1752,1956,4293,2383,2153,919,3804,2099,3804,2092,3368,932,1179,857,1538,186,301
Parabacteroides_johnsonii,0,0,0,24,19,32,31,15,21,44,11,33,13,20,17,14,19,24,26,25,0,12,0,0,0,0,12,0,0,25,14,12,0,0,0,0,33,0,0,10,0,0,0,0,0,0,0,0,0,0,49,34,38,56,50,50,96,42,37,32,77,63,87,32,83,24,18,21,28,0,0
Parabacteroides_chinchillae,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parabacteroides_sp014287585,0,0,0,10,0,15,13,0,0,15,13,14,0,0,0,0,0,14,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,18,0,13,0,20,11,13,13,10,0,0,0,0,0,0
Parabacteroides_massiliensis,0,0,0,0,0,0,10,0,10,12,0,0,0,0,0,15,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,19,14,0,0,15,0,19,0,19,0,0,0,0,0,0
Barnesiella_intestinihominis,0,0,0,213,167,270,297,121,193,281,146,234,139,206,165,217,268,367,265,215,211,682,86,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,18,35,42,31,34,63,50,19,17,89,38,77,43,57,0,32,0,30,0,0
Odoribacter_splanchnicus,0,0,0,41,25,39,45,18,35,50,35,39,27,41,27,29,50,40,25,25,30,47,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,59,45,62,59,65,145,104,58,40,145,67,160,60,97,35,41,31,70,0,19
Odoribacter_laneus,0,0,0,21,19,21,38,14,12,31,21,19,10,15,13,20,25,22,15,21,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,10,10,11,10,29,16,13,12,42,26,47,18,44,12,18,26,48,14,0
Clostridium_Q_sp900547735,0,0,0,828,745,1306,1506,512,691,1427,700,993,574,585,332,433,348,590,735,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium_Q_symbiosum,0,0,0,78,52,105,104,33,55,106,59,80,37,65,17,35,10,20,36,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,308,452,470,341,423,767,420,389,223,737,394,664,130,283,96,166,0,0,0,0
Clostridium_Q_saccharolyticum_A,0,0,0,0,15,0,23,0,0,23,29,18,0,14,17,0,19,35,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,0,0,0,0,17,17,0,0,34,13,38,15,32,13,0,0,15,0,0
CAG.81_sp900066535,0,0,0,542,433,575,760,400,583,1112,439,586,449,456,354,569,961,1327,336,343,0,0,0,0,0,0,0,1082,0,0,0,2077,0,39,926,0,0,138,128,0,0,64,0,0,0,0,0,0,0,0,3697,2271,2940,3405,2857,3121,6735,4050,3681,2299,7376,4022,6645,2749,5249,1820,2241,1214,1501,0,0
CAG.81_sp900541255,0,0,0,207,339,96,310,243,283,408,290,337,143,241,247,282,302,446,437,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAG.81_sp900066055,0,0,0,103,108,111,182,75,126,247,91,133,90,94,73,138,233,289,70,87,0,0,0,0,0,0,0,259,0,0,0,476,0,81,210,0,0,43,33,0,0,0,0,0,0,0,0,0,0,0,709,473,548,739,565,656,1272,786,779,441,1424,784,1383,552,1065,366,483,250,293,0,0
MGYG000004582,0,0,0,28,34,38,57,29,24,71,19,35,22,32,25,46,68,88,25,30,0,0,0,0,0,0,0,88,0,0,0,149,0,0,64,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,261,154,223,269,195,220,492,263,264,169,551,293,473,180,365,149,161,92,93,0,0
CAG.81_sp900066785,0,0,0,59,18,26,51,35,40,96,58,48,26,72,53,40,151,159,51,82,0,0,0,0,0,0,0,44,0,0,0,91,0,26,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,172,186,221,162,236,426,266,255,145,482,237,435,160,332,131,186,74,86,0,0
Blautia_A_wexlerae_A,0,0,0,273,167,221,367,230,277,410,226,292,199,300,227,269,604,810,565,484,211,626,134,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,54,0,0,0,0,0,0,0,200,93,71,187,159,152,332,182,152,59,265,125,269,685,926,362,368,806,179,24,34
Blautia_A_massiliensis,0,0,0,114,72,120,181,88,109,203,118,155,86,122,68,117,137,159,368,349,188,500,132,210,0,0,0,0,0,0,0,0,0,0,0,0,19,24,0,0,0,89,41,0,0,0,0,0,0,0,888,472,570,760,741,785,1689,985,795,558,1894,1112,2568,948,1332,595,794,914,1442,112,272
Blautia_A_obeum,0,0,0,71,55,78,96,54,68,106,79,83,41,51,32,57,31,54,61,53,25,93,30,20,0,0,32,22,0,24,0,28,0,20,0,29,36,29,0,0,0,0,18,0,0,0,0,0,0,0,242,105,105,245,138,232,438,222,167,117,446,227,461,69,81,100,193,52,87,0,22
Blautia_A_wexlerae_B,0,0,0,42,16,39,58,39,34,70,24,45,21,47,27,41,90,106,68,66,45,91,29,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,13,0,22,16,17,36,16,20,0,24,0,31,82,109,41,47,80,17,0,0
Blautia_A_faecis,0,0,0,23,0,23,31,14,21,35,24,23,21,32,15,23,25,54,75,64,16,55,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,86,108,143,129,152,304,163,94,65,230,133,223,181,222,67,89,84,86,17,15
Blautia_A_sp900548245,0,0,0,22,21,32,20,20,16,25,24,32,0,19,18,18,18,21,17,17,23,41,19,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,17,0,14,30,0,0,0,20,13,18,25,14,19,48,20,21,21,48,55,55,64,85,46,28,55,92,68,73
Blautia_A_sp000285855,0,0,0,12,0,0,14,12,0,15,0,11,0,13,0,11,18,26,23,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0,0,11,0,0,0
Blautia_A_sp003477525,0,0,0,0,0,0,17,0,0,0,0,0,0,20,0,21,28,35,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,15,25,0,0,18,0,0,0
Blautia_A_sp900551465,0,0,0,0,0,19,11,12,0,17,0,17,0,13,14,14,22,35,14,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bariatricus_comes,0,0,0,552,411,641,735,369,516,798,461,722,355,521,342,456,684,930,463,371,37,137,24,34,0,0,0,110,0,217,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819,397,739,867,764,777,1768,853,972,422,1620,789,1639,542,761,279,585,115,188,84,155
Anaerostipes_hadrus_A,0,0,0,120,43,113,259,96,157,238,137,141,119,231,208,197,361,506,330,251,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,26,36,41,42,29,79,39,37,13,87,24,68,49,74,0,26,76,199,0,0
Anaerostipes_hadrus,0,0,0,196,189,241,226,121,126,219,176,232,175,149,150,187,900,1284,303,189,21,36,38,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1256,626,677,1047,933,892,2053,1182,912,526,2146,783,1899,2022,2463,454,834,2340,5381,26,41
Anaerostipes_caccae,0,0,0,18,0,36,33,13,21,30,17,23,12,12,0,16,0,24,21,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerostipes_sp900066705,0,0,0,11,0,0,12,0,0,22,0,0,0,14,16,0,35,55,19,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,12,32,54,30,42,109,55,39,22,107,36,119,77,99,43,53,67,134,0,12
Blautia_sp001304935,0,0,0,210,128,228,286,130,161,342,157,213,105,158,110,130,155,265,135,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blautia_coccoides,0,0,0,139,95,143,206,88,133,245,100,123,77,86,68,92,76,165,144,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,55,84,105,81,83,196,91,66,68,192,116,231,158,280,80,122,46,14,0,0
Enterocloster_clostridioformis,0,0,0,77,84,151,123,55,60,182,72,90,56,77,49,57,39,60,41,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterocloster_citroniae,0,0,0,34,26,45,78,39,40,67,41,59,40,12,17,30,16,25,22,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,70,124,97,93,86,227,98,128,83,215,149,290,86,141,46,73,0,11,0,0
Enterocloster_lavalensis,0,0,0,34,22,36,40,27,41,53,28,41,14,21,21,26,11,20,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,82,91,159,107,97,199,116,97,92,240,150,220,114,137,85,81,17,0,0,0
Enterocloster_sp000155435,0,0,0,16,14,36,30,16,17,42,26,40,0,25,15,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,12,0,0,16,26,15,22,15,41,21,61,35,40,11,16,0,0,0,0
Enterocloster_aldenensis,0,0,0,15,0,0,20,0,12,22,0,10,0,12,0,10,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0
Enterocloster_sp900753815,0,0,0,0,0,0,11,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coprococcus_A_catus,0,0,0,173,80,195,267,117,125,261,135,171,119,171,95,135,282,404,141,137,0,19,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,74,79,92,105,106,228,140,141,36,223,115,292,85,144,76,103,19,26,0,0
Coprococcus_A_sp900548825,0,0,0,24,13,23,31,15,14,34,15,23,23,14,0,20,35,46,28,19,0,0,0,0,0,0,0,143,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,15,0,10,20,0,10,0,20,0,11,0,11,12,15,0,0,0,0
Dorea_formicigenerans,0,0,0,103,80,103,219,96,112,152,107,138,115,135,80,125,162,181,100,122,0,24,0,18,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,76,113,157,130,128,320,171,164,66,270,136,233,89,140,27,74,144,178,0,0
Ruminococcus_B_gnavus,0,0,0,177,117,231,189,96,125,214,112,155,81,122,106,138,163,203,144,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,11,22,19,13,49,20,16,12,28,29,54,29,44,16,17,0,0,0,39
