"","biox001_seq","biox002_seq","biox003_seq","biox004_seq","biox005_seq","biox006_seq","biox007_seq","biox008_seq","biox009_seq","biox010_seq","biox011_seq","biox012_seq","biox013_seq","biox014_seq","biox015_seq","biox016_seq","biox017_seq","biox018_seq","biox019_seq","biox020_seq","biox021_seq","biox022_seq","biox023_seq","biox024_seq","biox025_seq","biox026_seq","biox027_seq","biox028_seq","biox029_seq","biox030_seq","biox031_seq","biox032_seq","biox033_seq","biox034_seq","biox035_seq","biox036_seq","biox037_seq","biox038_seq","biox039_seq","biox040_seq","biox041_seq","biox042_seq","biox043_seq","biox044_seq","biox045_seq","biox046_seq","biox047_seq","biox048_seq","biox050_seq","biox051_seq","biox052_seq","biox053_seq","biox054_seq","biox055_seq","biox056_seq","biox057_seq","biox058_seq","biox059_seq","biox060_seq","biox061_seq","biox062_seq","biox063_seq","biox064_seq","biox065_seq","biox066_seq","biox067_seq","biox068_seq","biox069_seq","biox070_seq","biox071_seq","biox072_seq","biox073_seq","biox074_seq","biox075_seq","biox076_seq","biox077_seq","biox078_seq","biox079_seq","biox080_seq","biox081_seq","biox082_seq","biox083_seq","biox084_seq","biox085_seq","biox086_seq","biox087_seq","biox088_seq","biox089_seq","biox090_seq","biox091_seq","biox092_seq","biox093_seq","biox094_seq","biox095_seq","biox096_seq","biox097_seq","biox098_seq","biox099_seq","biox100_seq","biox101_seq","biox102_seq","biox103_seq","biox104_seq","biox105_seq","biox106_seq","biox107_seq","biox108_seq","biox109_seq","biox110_seq","biox111_seq","biox112_seq","biox113_seq","biox114_seq","biox115_seq","biox116_seq","biox117_seq","biox118_seq","biox119_seq","biox120_seq","biox121_seq","biox122_seq","biox123_seq","biox124_seq","biox125_seq","biox126_seq","biox127_seq","biox128_seq","biox129_seq","biox130_seq","biox131_seq","biox132_seq","biox133_seq","biox134_seq","biox135_seq","biox136_seq","biox137_seq","biox138_seq","biox139_seq","biox140_seq","biox141_seq","biox142_seq","biox143_seq","biox144_seq"
"Bacteroides_faecis",0,0,0,49,44,45,61,31,44,82,39,58,48,45,36,33,28,49,46,36,47,35,12,12,45,22,12,29,12,13,30,40,19,34,0,0,17,20,13,25,0,0,14,24,11,18,0,0,0,0,852,582,436,1276,333,694,22,637,470,797,1385,574,481,296,346,1297,787,373,120,31,65,1209,783,225,175,63,58,274,458,185,99,33,62,2152,1180,496,497,0,0,824,597,80,102,28,0,0,0,0,37,26,24,36,33,37,54,41,44,21,72,49,72,26,47,13,34,37,39,0,0,23,37,18,47,0,0,0,24,15,32,0,0,0,0,28,25,19,0,0,15,11,15,0,0
"Bacteroides_fluxus",0,0,0,33,26,41,51,32,24,57,19,39,29,38,39,32,28,37,33,30,19,41,0,19,39,25,0,29,0,12,35,32,19,54,0,0,11,0,14,0,0,17,0,23,11,13,0,0,0,0,66,56,17,54,13,33,0,34,21,59,122,68,54,22,18,102,76,11,0,0,0,56,54,11,0,0,0,19,30,14,12,0,0,77,56,25,20,0,0,38,36,0,0,0,0,0,0,0,0,0,0,12,0,0,14,0,0,0,13,0,0,0,0,0,14,13,16,0,0,0,0,0,17,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_eggerthii",0,0,0,21,25,40,47,34,28,64,37,39,20,27,19,16,38,35,32,29,13,21,0,0,30,25,0,0,0,13,42,36,0,22,0,0,24,0,0,21,0,0,11,18,0,28,0,0,0,0,49,45,39,51,26,45,0,43,26,37,106,45,29,31,30,93,36,30,24,0,0,70,68,34,28,0,19,18,35,21,0,0,0,137,74,32,38,0,0,49,37,0,20,0,0,0,0,0,0,0,14,21,11,18,50,24,18,17,37,24,42,18,19,0,15,12,39,0,0,0,27,0,0,0,0,12,20,16,36,0,0,0,0,12,12,0,0,0,0,0,0,0,0
"MGYG000001977",0,0,0,18,23,33,30,21,21,48,24,32,17,33,16,28,28,34,33,22,25,36,11,0,34,0,0,14,0,12,35,22,15,35,0,0,0,0,0,22,0,0,0,18,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,16,14,15,14,34,22,15,0,45,21,21,0,13,0,18,40,61,0,0,0,21,18,35,0,0,0,0,16,38,0,0,0,0,13,12,0,0,0,0,0,0,0,0
"Bacteroides_caccae",0,0,0,14,20,31,25,0,13,31,19,29,0,15,0,28,25,23,19,13,23,12,0,12,21,0,0,12,0,0,22,13,0,20,0,0,0,0,0,12,0,0,0,12,0,14,0,0,0,0,39,20,0,56,19,24,0,18,13,27,57,20,17,26,13,66,28,30,0,0,0,54,41,30,14,0,0,15,19,22,19,0,0,77,53,24,27,0,0,44,31,0,14,0,0,0,0,0,359,153,233,302,267,281,661,373,254,155,617,355,822,604,827,219,387,1087,1502,222,262,305,593,364,960,272,336,166,324,441,988,194,361,81,113,286,309,249,273,29,158,82,203,122,161
"Bacteroides_stercoris",0,0,0,0,0,0,21,0,0,19,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1352,746,1028,1302,1117,1038,2459,1356,1135,829,2585,1368,2767,675,911,482,1215,880,1027,269,363,792,1649,381,949,281,363,622,897,644,1828,171,360,418,527,576,681,443,417,190,648,289,515,86,80
"Bacteroides_intestinalis",0,0,0,0,0,0,12,0,0,13,0,10,0,15,0,0,0,0,0,0,0,12,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,71,112,133,121,117,274,137,119,60,252,79,193,75,81,39,107,216,315,20,37,41,104,87,205,40,49,20,55,111,258,13,38,37,47,78,102,61,52,0,39,25,45,16,24
"Bacteroides_congonensis",0,0,0,0,0,0,11,0,0,18,0,0,0,0,0,0,0,0,16,0,0,13,0,0,0,0,0,10,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,14,0,0,0,19,0,19,10,17,0,0,18,29,0,0,0,0,0,12,0,0,0,0,0,16,0,0,0,0,10,13,0,0,0,0,0,0,0,0
"Bacteroides_sp900556215",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,10,20,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,11,12,0,12,26,0,0,0,20,0,21,0,0,0,15,0,25,0,0,0,17,11,12,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_oleiciplenus",0,0,0,0,0,14,10,21,17,14,10,0,12,0,0,0,0,10,0,0,0,12,0,0,0,0,0,13,0,0,14,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phocaeicola_massiliensis",0,0,0,502,407,622,650,307,432,761,454,599,340,438,447,605,1034,1458,626,430,509,900,217,318,656,408,299,994,305,491,732,504,686,2049,184,293,215,179,262,331,206,514,156,342,383,898,213,100,0,0,51,24,32,45,0,35,0,31,18,55,85,22,23,27,34,94,49,27,12,0,0,68,41,0,15,0,0,18,26,15,17,0,0,118,57,24,28,0,0,47,42,12,12,0,0,0,0,0,113,70,74,80,61,84,213,98,77,52,214,156,305,221,302,83,149,274,422,41,69,99,218,107,250,65,102,59,90,141,334,48,97,32,60,98,135,84,79,25,70,35,94,22,36
"Phocaeicola_dorei",0,0,0,164,114,189,238,127,145,268,124,190,122,165,191,263,357,438,384,291,279,435,136,182,382,269,102,268,120,223,281,247,175,568,72,117,95,83,158,233,19,74,82,175,175,321,24,13,0,0,533,363,277,713,221,422,18,451,293,584,1014,462,365,271,294,983,592,377,250,20,89,950,582,366,404,72,81,181,310,343,250,40,75,1185,779,310,339,13,0,541,417,137,149,45,19,0,0,0,3240,1672,2337,2815,2791,2752,6384,3575,2774,1543,6577,4465,9659,7054,9944,2243,4434,10112,14036,1410,1918,3214,6290,3731,9068,2052,3074,1869,2961,4795,12282,1753,2941,1049,1335,3780,4350,2643,2372,392,1918,1228,2577,705,987
"Phocaeicola_sp000436795",0,0,0,17,14,13,16,13,0,23,0,22,0,0,21,16,0,28,18,0,18,22,0,0,23,13,0,17,0,0,23,0,17,32,0,0,0,0,0,19,0,13,0,15,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13,0,0,0,0,13,0,0,0,0,0,0,0,0,100,56,61,62,58,67,163,137,68,38,148,86,171,134,187,51,85,214,277,41,60,47,124,86,202,53,61,36,66,109,249,39,60,35,39,90,114,69,59,0,26,29,64,24,18
"Phocaeicola_sartorii",0,0,0,0,0,0,16,0,0,11,0,11,0,11,0,0,14,15,17,14,0,16,0,0,15,0,0,14,0,0,14,12,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,59,62,103,34,58,0,65,58,105,168,77,56,47,42,142,98,50,36,0,12,110,77,55,86,15,20,31,44,66,26,0,0,206,104,53,66,0,0,85,80,19,27,0,0,0,0,0,562,238,322,440,366,389,888,526,405,291,958,675,1432,1026,1475,334,776,1429,2118,230,333,465,948,524,1333,331,462,303,493,634,1612,309,481,207,227,582,625,376,360,92,304,215,466,133,181
"Phocaeicola_barnesiae",0,0,0,0,0,0,13,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,32,32,34,25,32,64,26,37,33,78,52,95,45,79,0,37,59,90,0,14,30,48,21,89,0,20,23,15,44,61,0,15,17,16,29,35,24,22,0,23,0,32,12,0
"Phocaeicola_ilei",0,0,0,0,0,0,10,0,0,13,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,13,11,30,12,22,0,0,24,33,0,0,10,11,11,21,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraprevotella_clara",0,0,0,55,59,62,94,37,50,114,59,73,43,65,58,76,110,162,86,54,81,126,138,163,79,54,47,139,123,185,79,60,156,472,43,98,22,17,23,42,35,105,24,38,44,114,46,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,17,0,18,0,13,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraprevotella_sp003477995",0,0,0,0,0,0,10,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,19,18,20,17,22,63,22,31,15,78,50,70,60,79,29,30,34,73,0,0,32,52,24,48,15,16,23,28,15,48,0,12,13,0,21,24,0,17,0,31,17,23,0,0
"Prevotella_stercorea",0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HGM04593_sp900769465",0,0,0,14,0,11,23,0,10,31,0,13,11,10,0,0,13,11,15,12,0,13,0,0,17,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,10,0,13,0,0,0,11,0,0,20,0,0,0,0,17,0,0,0,0,0,13,14,0,0,0,0,0,0,0,0,0,0,29,14,0,0,0,0,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_onderdonkii",0,0,0,2640,2861,4340,5001,2067,2780,5891,2508,3357,1898,2380,1862,2338,1737,2375,2984,1675,937,983,375,517,2461,1657,368,480,354,651,2416,1781,798,1547,247,324,1567,997,987,1252,192,374,1199,2253,369,1025,211,158,0,0,12,11,23,28,11,27,0,21,0,15,26,0,0,0,0,16,0,0,0,0,0,21,0,0,0,0,0,0,12,0,0,0,0,58,19,0,0,0,0,20,19,0,0,0,0,0,0,0,99,106,127,178,102,109,235,133,114,143,289,167,225,93,192,91,146,84,145,21,27,95,162,42,79,20,23,106,90,35,82,12,23,68,80,65,54,49,33,38,97,39,57,0,0
"Alistipes_communis",0,0,0,92,102,162,228,84,114,238,94,106,79,111,82,124,100,134,162,86,42,41,20,23,138,80,0,28,18,36,153,98,38,67,0,15,101,51,46,50,0,20,62,151,18,46,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,129,130,225,110,136,280,136,134,161,346,246,340,206,332,129,197,248,451,48,55,216,281,145,361,45,77,244,131,108,174,45,58,124,131,135,129,66,45,101,157,130,174,27,20
"Alistipes_finegoldii",0,0,0,97,89,133,138,70,82,159,64,101,63,81,65,70,54,74,61,51,31,24,12,14,73,59,21,21,11,23,72,52,23,56,0,21,47,27,18,35,0,11,23,55,11,33,0,0,0,0,45,20,47,53,26,40,0,38,26,31,63,16,26,0,0,40,44,0,0,0,0,45,36,0,0,0,0,0,20,0,0,0,0,111,45,0,13,0,0,36,44,0,0,0,0,0,0,0,383,289,279,516,284,331,744,389,347,395,871,531,677,391,624,276,440,314,538,75,105,474,597,197,384,86,104,440,308,160,352,60,119,295,242,185,246,83,107,203,393,199,253,56,51
"Alistipes_timonensis",0,0,0,34,31,71,71,32,39,74,23,33,24,30,18,31,18,28,32,26,0,14,0,0,17,19,0,0,0,0,30,28,0,12,0,0,13,14,0,14,0,0,18,31,0,0,0,0,0,0,20,11,11,21,0,19,0,21,15,0,35,0,11,0,0,14,10,0,0,0,0,18,19,0,0,0,0,0,12,0,0,0,0,44,30,11,16,0,0,11,29,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,14,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_sp902388705",0,0,0,26,24,33,55,23,33,69,27,48,16,20,28,15,15,27,26,18,0,16,0,0,33,12,0,0,0,0,27,17,11,17,0,0,20,13,0,13,0,0,17,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_senegalensis",0,0,0,24,33,43,49,28,30,45,26,34,19,23,21,31,17,20,24,24,0,0,0,0,19,20,0,0,0,0,21,17,0,22,0,0,11,0,12,19,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,16,28,19,15,34,16,14,13,46,20,35,28,47,0,20,27,38,0,0,14,25,10,22,0,11,21,15,0,25,0,0,0,0,14,18,0,0,0,13,0,14,0,0
"Alistipes_shahii",0,0,0,14,11,18,24,0,26,29,0,15,18,11,0,13,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,91,98,130,37,99,0,79,54,64,141,69,57,31,20,102,42,24,18,0,0,143,55,19,12,0,0,62,119,0,0,0,0,269,135,13,55,0,0,99,113,13,0,0,0,0,0,0,469,394,337,722,380,389,945,550,393,532,1120,847,1162,827,1328,436,576,613,1188,80,74,757,860,279,602,123,122,841,454,298,499,91,134,382,354,291,341,91,108,341,540,257,396,73,87
"Tidjanibacter_inops_A",0,0,0,184,209,276,346,139,192,404,177,232,171,166,160,161,135,232,211,146,124,162,74,129,228,134,64,126,91,140,216,160,133,269,65,72,96,66,88,120,81,117,77,187,58,115,54,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_A_ihumii",0,0,0,43,36,91,89,31,40,96,46,60,29,32,23,39,27,35,46,38,0,14,0,0,35,21,10,0,0,16,40,24,10,15,0,0,26,21,0,14,0,0,25,38,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,18,0,29,27,22,45,13,11,14,46,27,35,23,20,12,27,14,25,0,0,27,31,0,16,0,0,32,11,0,10,0,0,13,10,0,19,0,0,0,10,0,15,0,0
